year,state,state_po,margin,num_ballots
2012,MISSOURI,MO,0.21771058917533356,33
2012,MONTANA,MT,0.10279262486987362,69
2012,NEBRASKA,NE,0.15548865544300328,46
2012,NEVADA,NV,0.011601465216149465,604
2012,NEW JERSEY,NJ,0.19988722547116972,36
2012,NEW MEXICO,NM,0.05730523477267779,123
2012,NEW YORK,NY,0.41273620034656866,17
2012,NORTH DAKOTA,ND,0.009142316219515223,766
2012,OHIO,OH,0.06000677553276568,117
2012,PENNSYLVANIA,PA,0.1082481463092692,65
2012,RHODE ISLAND,RI,0.2984583525630755,24
2012,TENNESSEE,TN,0.34484985205539403,21
2012,TEXAS,TX,0.13768347204806416,51
2012,UTAH,UT,0.3532968981061694,20
2012,VERMONT,VT,0.2490008949248878,29
2012,VIRGINIA,VA,0.059051400822051237,119
2012,WASHINGTON,WA,0.2090198236342602,34
2012,WEST VIRGINIA,WV,0.24100351104661905,30
2012,WISCONSIN,WI,0.07616706392048145,92
2012,WYOMING,WY,0.5274471479856402,14
2014,ALABAMA,AL,0.9725164712928895,8
2014,ALASKA,AK,0.015927762039660058,440
2014,ARKANSAS,AR,0.1503648946023917,47
2014,COLORADO,CO,0.006461354846359107,1084
2014,DELAWARE,DE,0.13601210059904806,52
2014,GEORGIA,GA,0.057798392011854535,122
2014,HAWAII,HI,0.42672631815267925,17
2014,IDAHO,ID,0.3065672392890637,23
2014,ILLINOIS,IL,0.14608803228177789,48
2014,IOWA,IA,0.07610250508984678,92
2014,KANSAS,KS,0.48820756622961914,15
2014,KENTUCKY,KY,0.12386166416411531,57
2014,LOUISIANA,LA,0.03920744395054134,179
2014,MAINE,ME,0.3618354089815817,20
2014,MASSACHUSETTS,MA,0.22772841824245504,31
2014,MICHIGAN,MI,0.1530009728452215,46
2014,MINNESOTA,MN,0.11741595374882409,60
2014,MISSISSIPPI,MS,0.2200526067565814,32
2014,MONTANA,MT,0.15572728796785512,45
2014,NEBRASKA,NE,0.32851535245596725,22
2014,NEW HAMPSHIRE,NH,0.0324422985133942,216
2014,NEW JERSEY,NJ,0.14404116531650915,49
2014,NEW MEXICO,NM,0.11117620357474012,63
2014,NORTH CAROLINA,NC,0.021779032621555214,322
2014,OKLAHOMA,OK,0.39011682442227336,18
2014,OREGON,OR,0.21935006273869095,32
2014,RHODE ISLAND,RI,0.4133538236277919,17
2014,SOUTH CAROLINA,SC,0.21272342398645244,33
2014,SOUTH DAKOTA,SD,0.20859877170629748,34
2014,TENNESSEE,TN,0.3000141914683803,24
2014,TEXAS,TX,0.24318114052316972,29
2014,VIRGINIA,VA,0.032423838610044615,216
2014,WEST VIRGINIA,WV,0.2602024735005698,27
2014,WYOMING,WY,0.5170812080419275,14
2016,ALABAMA,AL,0.2809153203630852,25
