year,state,state_po,totalvotes
2010,MICHIGAN,MI,3194901
2010,MINNESOTA,MN,2090701
2010,MISSISSIPPI,MS,788549
2010,MISSOURI,MO,1920675
2010,MONTANA,MT,360341
2010,NEBRASKA,NE,485546
2010,NEVADA,NV,702788
2010,NEW HAMPSHIRE,NH,449787
2010,NEW JERSEY,NJ,2121584
2010,NEW MEXICO,NM,596651
2010,NEW YORK,NY,4753783
2010,NORTH CAROLINA,NC,2662549
2010,NORTH DAKOTA,ND,236344
2010,OHIO,OH,3825274
2010,OKLAHOMA,OK,792980
2010,OREGON,OR,1429356
2010,PENNSYLVANIA,PA,3956401
2010,RHODE ISLAND,RI,335484
2010,SOUTH CAROLINA,SC,1340189
2010,SOUTH DAKOTA,SD,319426
2010,TENNESSEE,TN,1559129
2010,TEXAS,TX,4745545
2010,UTAH,UT,640495
2010,VERMONT,VT,238521
2010,VIRGINIA,VA,2189841
2010,WASHINGTON,WA,2479409
2010,WEST VIRGINIA,WV,514373
2010,WISCONSIN,WI,2140482
2010,WYOMING,WY,190822
2012,ALABAMA,AL,1933630
2012,ALASKA,AK,289804
2012,ARIZONA,AZ,2173317
2012,ARKANSAS,AR,1038054
2012,CALIFORNIA,CA,12204357
2012,COLORADO,CO,2450488
2012,CONNECTICUT,CT,1465511
2012,DELAWARE,DE,388059
2012,FLORIDA,FL,7513536
2012,GEORGIA,GA,3552967
2012,HAWAII,HI,437159
2012,IDAHO,ID,635218
2012,ILLINOIS,IL,5058133
2012,INDIANA,IN,2553746
2012,IOWA,IA,1536849
2012,KANSAS,KS,1057739
2012,KENTUCKY,KY,1745377
2012,LOUISIANA,LA,1705617
2012,MAINE,ME,724623
2012,MARYLAND,MD,2585514
2012,MASSACHUSETTS,MA,3184196
2012,MICHIGAN,MI,4574632
2012,MINNESOTA,MN,2813383
2012,MISSISSIPPI,MS,1208175
2012,MISSOURI,MO,2675900
2012,MONTANA,MT,479740
2012,NEBRASKA,NE,772515
2012,NEVADA,NV,973742
2012,NEW HAMPSHIRE,NH,682416
2012,NEW JERSEY,NJ,3281778
2012,NEW MEXICO,NM,766090
2012,NEW YORK,NY,7116336
2012,NORTH CAROLINA,NC,4384112
2012,NORTH DAKOTA,ND,316224
2012,OHIO,OH,5142126
2012,OKLAHOMA,OK,1325935
2012,OREGON,OR,1708168
2012,PENNSYLVANIA,PA,5556330
2012,RHODE ISLAND,RI,427775
2012,SOUTH CAROLINA,SC,1802734
2012,SOUTH DAKOTA,SD,361429
2012,TENNESSEE,TN,2283727
2012,TEXAS,TX,7664208
2012,UTAH,UT,998897
2012,VERMONT,VT,289931
2012,VIRGINIA,VA,3740455
