year,state,state_po,num_ballots,procedural_cost,margin
2006,PENNSYLVANIA,PA,2458,1290.4199999999998,0.0028478437754271765
2006,RHODE ISLAND,RI,32,16.8,0.21875
2006,SOUTH CAROLINA,SC,185,97.13,0.03783783783783784
2006,SOUTH DAKOTA,SD,18,9.45,0.3888888888888889
2006,TENNESSEE,TN,179,93.97,0.03910614525139665
2006,TEXAS,TX,849,445.73,0.008244994110718492
2006,UTAH,UT,84,44.099999999999994,0.08333333333333333
2006,VERMONT,VT,81,42.52,0.08641975308641975
2006,VIRGINIA,VA,513,269.33,0.01364522417153996
2006,WASHINGTON,WA,448,235.21,0.015625
2006,WEST VIRGINIA,WV,93,48.81999999999999,0.07526881720430108
2006,WISCONSIN,WI,469,246.23,0.014925373134328358
2006,WYOMING,WY,1400,735.0,0.005
2008,ALABAMA,AL,1479,776.4799999999999,0.004732927653820149
2008,ALASKA,AK,135,70.88,0.05185185185185185
2008,ARIZONA,AZ,328,172.21,0.021341463414634148
2008,ARKANSAS,AR,37,19.42,0.1891891891891892
2008,CALIFORNIA,CA,2808,1474.23,0.002492877492877493
2008,COLORADO,CO,218,114.42999999999999,0.03211009174311927
2008,CONNECTICUT,CT,276,144.9,0.025362318840579712
2008,DELAWARE,DE,31,16.27,0.22580645161290322
2008,FLORIDA,FL,989,519.19,0.007077856420626896
2008,GEORGIA,GA,286,150.16,0.024475524475524476
2008,HAWAII,HI,26,13.64,0.2692307692307692
2008,IDAHO,ID,601,315.52000000000004,0.011647254575707155
2008,ILLINOIS,IL,579,303.97,0.012089810017271158
2008,INDIANA,IN,249,130.73,0.028112449799196786
2008,IOWA,IA,178,93.44,0.03932584269662921
2008,KANSAS,KS,236,123.91,0.029661016949152543
2008,KENTUCKY,KY,247,129.69,0.02834008097165992
2008,LOUISIANA,LA,2149,1128.23,0.003257328990228013
2008,MAINE,ME,93,48.81999999999999,0.07526881720430108
2008,MARYLAND,MD,996,522.91,0.007028112449799197
2008,MASSACHUSETTS,MA,65,34.12,0.1076923076923077
2008,MICHIGAN,MI,766,402.15,0.009138381201044387
2008,MINNESOTA,MN,469,246.23,0.014925373134328358
2008,MISSISSIPPI,MS,129,67.73,0.05426356589147287
2008,MISSOURI,MO,451,236.78,0.015521064301552107
2008,MONTANA,MT,23,12.08,0.30434782608695654
2008,NEBRASKA,NE,217,113.92,0.03225806451612903
2008,NEVADA,NV,224,117.60000000000001,0.03125
2008,NEW HAMPSHIRE,NH,166,87.14,0.04216867469879518
2008,NEW JERSEY,NJ,513,269.32,0.01364522417153996
2008,NEW MEXICO,NM,148,77.71,0.0472972972972973
2008,NEW YORK,NY,1072,562.76,0.0065298507462686565
2008,NORTH CAROLINA,NC,376,197.41,0.018617021276595744
2008,NORTH DAKOTA,ND,30,15.75,0.23333333333333334
2008,OHIO,OH,1698,891.4399999999999,0.004122497055359246
2008,OKLAHOMA,OK,99,51.980000000000004,0.0707070707070707
2008,OREGON,OR,99,51.97,0.0707070707070707
2008,PENNSYLVANIA,PA,1190,624.72,0.0058823529411764705
2008,RHODE ISLAND,RI,34,17.85,0.20588235294117646
2008,SOUTH CAROLINA,SC,373,195.81,0.01876675603217158
2008,SOUTH DAKOTA,SD,20,10.5,0.35
2008,TENNESSEE,TN,143,75.07000000000001,0.04895104895104895
2008,TEXAS,TX,871,457.28,0.008036739380022962
2008,UTAH,UT,65,34.12,0.1076923076923077
2008,VERMONT,VT,9,4.72,0.7777777777777778
2008,VIRGINIA,VA,3915,2055.37,0.0017879948914431673
2008,WASHINGTON,WA,304,159.60000000000002,0.023026315789473683
2008,WEST VIRGINIA,WV,79,41.47,0.08860759493670886
2008,WISCONSIN,WI,236,123.9,0.029661016949152543
2008,WYOMING,WY,72,37.8,0.09722222222222222
2010,ALABAMA,AL,383,201.07,0.018276762402088774
2010,ALASKA,AK,19,9.98,0.3684210526315789
2010,ARIZONA,AZ,903,474.07000000000005,0.007751937984496124
2010,ARKANSAS,AR,178,93.44,0.03932584269662921
2010,CALIFORNIA,CA,2194,1151.8700000000001,0.0031905195989061076
2010,COLORADO,CO,384,201.58999999999997,0.018229166666666668
2010,CONNECTICUT,CT,286,150.15,0.024475524475524476
2010,DELAWARE,DE,45,23.62,0.15555555555555556
2010,FLORIDA,FL,754,395.82,0.009283819628647215
2010,GEORGIA,GA,560,294.0,0.0125
2010,HAWAII,HI,125,65.63,0.056
2010,IDAHO,ID,89,46.72,0.07865168539325842
2010,ILLINOIS,IL,4312,2263.79,0.0016233766233766235
2010,INDIANA,IN,757,397.41999999999996,0.009247027741083224
2010,IOWA,IA,697,365.92,0.010043041606886656
2010,KANSAS,KS,105,55.129999999999995,0.06666666666666667
2010,KENTUCKY,KY,2468,1295.6899999999998,0.0028363047001620746
2010,LOUISIANA,LA,121,63.53,0.05785123966942149
2010,MAINE,ME,121,63.519999999999996,0.05785123966942149
2010,MARYLAND,MD,198,103.96,0.03535353535353535
2010,MASSACHUSETTS,MA,486,255.14000000000001,0.01440329218106996
2010,MICHIGAN,MI,826,433.64,0.00847457627118644
2010,MINNESOTA,MN,774,406.35,0.00904392764857881
2010,MISSISSIPPI,MS,237,124.42,0.029535864978902954
2010,MISSOURI,MO,635,333.36999999999995,0.011023622047244094
2010,MONTANA,MT,27,14.18,0.25925925925925924
2010,NEBRASKA,NE,64,33.59,0.109375
2010,NEVADA,NV,1217,638.93,0.005751848808545604
2010,NEW HAMPSHIRE,NH,528,277.2,0.013257575757575758
2010,NEW JERSEY,NJ,648,340.18,0.010802469135802469
2010,NEW MEXICO,NM,311,163.28,0.022508038585209004
2010,NEW YORK,NY,5322,2794.02,0.0013152950018789928
2010,NORTH CAROLINA,NC,1392,730.81,0.005028735632183908
2010,OHIO,OH,851,446.76,0.008225616921269096
2010,OKLAHOMA,OK,106,55.64,0.0660377358490566
2010,OREGON,OR,284,149.1,0.02464788732394366
2010,PENNSYLVANIA,PA,1592,835.8,0.0043969849246231155
2010,RHODE ISLAND,RI,142,74.54,0.04929577464788732
2010,SOUTH CAROLINA,SC,237,124.41999999999999,0.029535864978902954
2010,SOUTH DAKOTA,SD,319,167.48,0.0219435736677116
2010,TENNESSEE,TN,219,115.0,0.0319634703196347
2010,TEXAS,TX,1661,872.01,0.004214328717639976
2010,UTAH,UT,191,100.28,0.03664921465968586
2010,VERMONT,VT,22,11.55,0.3181818181818182
2010,VIRGINIA,VA,2314,1214.82,0.003025064822817632
2010,WASHINGTON,WA,822,431.56,0.00851581508515815
2010,WEST VIRGINIA,WV,953,500.34,0.007345225603357817
2010,WISCONSIN,WI,450,236.24,0.015555555555555555
2010,WYOMING,WY,16,8.4,0.4375
2012,ALABAMA,AL,121,63.519999999999996,0.05785123966942149
2012,ALASKA,AK,20,10.5,0.35
2012,ARIZONA,AZ,1351,709.27,0.0051813471502590676
2012,ARKANSAS,AR,129,67.71000000000001,0.05426356589147287
2012,CALIFORNIA,CA,2860,1501.52,0.0024475524475524478
2012,COLORADO,CO,416,218.4,0.016826923076923076
2012,CONNECTICUT,CT,320,168.0,0.021875
2012,DELAWARE,DE,23,12.08,0.30434782608695654
2012,FLORIDA,FL,2808,1474.17,0.002492877492877493
2012,GEORGIA,GA,293,153.84,0.023890784982935155
2012,HAWAII,HI,89,46.72,0.07865168539325842
2012,IDAHO,ID,46,24.15,0.15217391304347827
2012,ILLINOIS,IL,3016,1583.44,0.0023209549071618036
2012,INDIANA,IN,784,411.59,0.008928571428571428
2012,IOWA,IA,265,139.12,0.026415094339622643
2012,KANSAS,KS,81,42.53,0.08641975308641975
2012,KENTUCKY,KY,283,148.57,0.024734982332155476
2012,LOUISIANA,LA,110,57.75,0.06363636363636363
2012,MAINE,ME,68,35.7,0.10294117647058823
2012,MARYLAND,MD,160,83.99000000000001,0.04375
2012,MASSACHUSETTS,MA,817,428.94,0.008567931456548347
2012,MICHIGAN,MI,1513,794.33,0.004626569729015202
2012,MINNESOTA,MN,904,474.61,0.007743362831858407
2012,MISSISSIPPI,MS,82,43.05,0.08536585365853659
2012,MISSOURI,MO,184,96.60000000000001,0.03804347826086957
2012,MONTANA,MT,68,35.7,0.10294117647058823
2012,NEBRASKA,NE,327,171.68,0.021406727828746176
2012,NEVADA,NV,237,124.42000000000002,0.029535864978902954
2012,NEW HAMPSHIRE,NH,328,172.2,0.021341463414634148
2012,NEW JERSEY,NJ,368,193.2,0.019021739130434784
2012,NEW MEXICO,NM,105,55.12,0.06666666666666667
2012,NEW YORK,NY,2118,1111.93,0.0033050047214353163
2012,NORTH CAROLINA,NC,4047,2124.68,0.001729676303434643
2012,NORTH DAKOTA,ND,54,28.35,0.12962962962962962
2012,OHIO,OH,646,339.14,0.010835913312693499
2012,OKLAHOMA,OK,124,65.09,0.056451612903225805
2012,OREGON,OR,157,82.42,0.044585987261146494
2012,PENNSYLVANIA,PA,787,413.16,0.008894536213468869
2012,RHODE ISLAND,RI,93,48.83,0.07526881720430108
2012,SOUTH CAROLINA,SC,213,111.82,0.03286384976525822
2012,SOUTH DAKOTA,SD,47,24.67,0.14893617021276595
2012,TENNESSEE,TN,197,103.42,0.03553299492385787
2012,TEXAS,TX,933,489.83000000000004,0.007502679528403001
2012,UTAH,UT,638,334.95000000000005,0.0109717868338558
2012,VERMONT,VT,15,7.88,0.4666666666666667
2012,VIRGINIA,VA,436,228.89,0.016055045871559634
2012,WASHINGTON,WA,362,190.03,0.019337016574585635
2012,WEST VIRGINIA,WV,136,71.4,0.051470588235294115
2012,WISCONSIN,WI,288,151.19,0.024305555555555556
2012,WYOMING,WY,16,8.4,0.4375
2014,ALABAMA,AL,88,46.2,0.07954545454545454
2014,ALASKA,AK,70,36.75,0.1
2014,ARIZONA,AZ,9088,4771.200000000001,0.0007702464788732394
2014,ARKANSAS,AR,183,96.07,0.03825136612021858
2014,CALIFORNIA,CA,3974,2086.37,0.0017614494212380473
2014,COLORADO,CO,309,162.20999999999998,0.022653721682847898
2014,CONNECTICUT,CT,264,138.61,0.026515151515151516
2014,DELAWARE,DE,32,16.8,0.21875
2014,FLORIDA,FL,1374,721.38,0.005094614264919942
2014,GEORGIA,GA,275,144.39000000000001,0.025454545454545455
2014,HAWAII,HI,197,103.42,0.03553299492385787
2014,IDAHO,ID,55,28.869999999999997,0.12727272727272726
2014,ILLINOIS,IL,814,427.33,0.0085995085995086
2014,INDIANA,IN,251,131.76,0.027888446215139442
2014,IOWA,IA,546,286.63,0.01282051282051282
2014,KANSAS,KS,115,60.37,0.06086956521739131
2014,KENTUCKY,KY,130,68.25,0.05384615384615385
2014,LOUISIANA,LA,104,54.61,0.0673076923076923
2014,MAINE,ME,157,82.41999999999999,0.044585987261146494
2014,MARYLAND,MD,675,354.35,0.01037037037037037
2014,MASSACHUSETTS,MA,148,77.71000000000001,0.0472972972972973
2014,MICHIGAN,MI,524,275.08,0.013358778625954198
2014,MINNESOTA,MN,814,427.34,0.0085995085995086
2014,MISSISSIPPI,MS,69,36.22,0.10144927536231885
2014,MISSOURI,MO,236,123.89999999999999,0.029661016949152543
2014,MONTANA,MT,47,24.67,0.14893617021276595
2014,NEBRASKA,NE,246,129.15,0.028455284552845527
2014,NEVADA,NV,346,181.65,0.02023121387283237
2014,NEW HAMPSHIRE,NH,265,139.13,0.026415094339622643
2014,NEW JERSEY,NJ,386,202.65,0.018134715025906734
2014,NEW MEXICO,NM,97,50.91,0.07216494845360824
2014,NEW YORK,NY,2476,1299.87,0.002827140549273021
2014,NORTH CAROLINA,NC,349,183.23,0.02005730659025788
2014,NORTH DAKOTA,ND,42,22.05,0.16666666666666666
2014,OHIO,OH,336,176.41,0.020833333333333332
2014,OKLAHOMA,OK,75,39.370000000000005,0.09333333333333334
2014,OREGON,OR,144,75.59,0.04861111111111111
2014,PENNSYLVANIA,PA,457,239.95000000000002,0.015317286652078774
2014,RHODE ISLAND,RI,66,34.64,0.10606060606060606
2014,SOUTH CAROLINA,SC,121,63.53,0.05785123966942149
2014,SOUTH DAKOTA,SD,22,11.55,0.3181818181818182
2014,TENNESSEE,TN,171,89.78,0.04093567251461988
2014,TEXAS,TX,974,511.33,0.007186858316221766
2014,UTAH,UT,199,104.48,0.035175879396984924
2014,VERMONT,VT,21,11.02,0.3333333333333333
2014,VIRGINIA,VA,300,157.5,0.023333333333333334
2014,WASHINGTON,WA,715,375.37,0.009790209790209791
2014,WEST VIRGINIA,WV,311,163.27,0.022508038585209004
2014,WISCONSIN,WI,240,126.0,0.029166666666666667
2014,WYOMING,WY,16,8.4,0.4375
2016,ALABAMA,AL,158,82.94,0.04430379746835443
2016,ALASKA,AK,49,25.72,0.14285714285714285
2016,ARIZONA,AZ,292,153.29,0.023972602739726026
2016,ARKANSAS,AR,75,39.370000000000005,0.09333333333333334
2016,CALIFORNIA,CA,3233,1697.27,0.0021651716671821837
2016,COLORADO,CO,280,147.0,0.025
2016,CONNECTICUT,CT,147,77.18,0.047619047619047616
2016,DELAWARE,DE,49,25.72,0.14285714285714285
2016,FLORIDA,FL,1235,648.36,0.005668016194331984
2016,GEORGIA,GA,251,131.78,0.027888446215139442
2016,HAWAII,HI,27,14.18,0.25925925925925924
2016,IDAHO,ID,41,21.52,0.17073170731707318
2016,ILLINOIS,IL,531,278.8,0.013182674199623353
2016,INDIANA,IN,226,118.64,0.030973451327433628
2016,IOWA,IA,271,142.27,0.025830258302583026
2016,KANSAS,KS,132,69.3,0.05303030303030303
2016,KENTUCKY,KY,91,47.77,0.07692307692307693
2016,LOUISIANA,LA,136,71.41,0.051470588235294115
2016,MAINE,ME,117,61.42,0.05982905982905983
2016,MARYLAND,MD,187,98.17999999999999,0.0374331550802139
2016,MASSACHUSETTS,MA,130,68.25,0.05384615384615385
2016,MICHIGAN,MI,434,227.85999999999999,0.016129032258064516
2016,MINNESOTA,MN,2814,1477.35,0.0024875621890547263
2016,MISSISSIPPI,MS,76,39.91,0.09210526315789473
2016,MISSOURI,MO,167,87.67,0.041916167664670656
2016,MONTANA,MT,45,23.62,0.15555555555555556
2016,NEBRASKA,NE,609,319.73,0.011494252873563218
2016,NEVADA,NV,815,427.87,0.008588957055214725
